iter	Logloss
0	0.5208037659
1	0.4271310183
2	0.3708345282
3	0.3364321044
4	0.3153912883
5	0.3010090001
6	0.2925559711
7	0.2884086149
8	0.2844321723
9	0.2818363388
10	0.279882837
11	0.2776868203
12	0.2767834044
13	0.2760847264
14	0.2754482519
15	0.2748579929
16	0.2742466768
17	0.2735873979
18	0.2733315184
19	0.2729450494
20	0.2726993868
21	0.2725824783
22	0.2724679675
23	0.2722821482
24	0.2714107418
25	0.2712103397
26	0.2711973499
27	0.2710131087
28	0.2709527309
29	0.2708110637
30	0.2707171342
31	0.270671295
32	0.270668305
33	0.2705141296
34	0.2705077371
35	0.2704376921
36	0.2703659929
37	0.2703635915
38	0.270229121
39	0.2701460156
